ID     ,Product Type ,Name                                                            ,SKU                                                                   ,Price   ,Cost   ,Brand            ,Status  ,Visibility ,Availability ,Price Update ,Weight
       ,product      ,BET B-NOX ANDRORUSH 633 GRS BLUE RASPBERRY                      ,BET B-NOX ANDRORUSH 633 GRS BLUE RASPBERRY                            , 494.82 , 341.0 ,BETANCOURT       ,New     ,True       ,available    ,             , 633.0
       ,product      ,BET B-NOX ANDRORUSH 633 GRS GRAPE                               ,BET B-NOX ANDRORUSH 633 GRS GRAPE                                     , 494.82 , 341.0 ,BETANCOURT       ,New     ,True       ,available    ,             , 633.0
       ,product      ,BET B-NOX ANDRORUSH 633 GRS STRAWBERRY LEMONADE                 ,BET B-NOX ANDRORUSH 633 GRS STRAWBERRY LEMONADE                       , 494.82 , 341.0 ,BETANCOURT       ,New     ,True       ,available    ,             , 633.0
       ,product      ,BET B-NOX ANDRORUSH 633 GRS WATERMELON                          ,BET B-NOX ANDRORUSH 633 GRS WATERMELON                                , 494.82 , 341.0 ,BETANCOURT       ,New     ,True       ,available    ,             , 633.0
       ,product      ,BET B-NOX RIPPED 30 SERV TROPICAL PARADISE                      ,BET B-NOX RIPPED 30 SERV TROPICAL PARADISE                            , 490.47 , 338.0 ,BETANCOURT       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BET EAA RELOADED 30 SERV CHERRY CANDY                           ,BET EAA RELOADED 30 SERV CHERRY CANDY                                 , 348.37 , 240.0 ,BETANCOURT       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BET EAA RELOADED 30 SERV TROPICAL STORM                         ,BET EAA RELOADED 30 SERV TROPICAL STORM                               , 348.37 , 240.0 ,BETANCOURT       ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP AMINO ENERGY 30 SERV MORA AZUL                              ,BHP AMINO ENERGY 30 SERV MORA AZUL                                    , 288.92 , 199.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP AMINO ENERGY 30 SERV PONCHE DE FRUTAS                       ,BHP AMINO ENERGY 30 SERV PONCHE DE FRUTAS                             , 288.92 , 199.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP AMINO ENERGY 30 SERV UVA                                    ,BHP AMINO ENERGY 30 SERV UVA                                          , 288.92 , 199.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP ANGUS MASS 6 LB PASTEL DE CHOCOLATE                         ,BHP ANGUS MASS 6 LB PASTEL DE CHOCOLATE                               , 744.22 , 513.0 ,BHP              ,New     ,True       ,available    ,             ,   6.0
       ,product      ,BHP BCAA 2:1:1 ULTRA 240 CAPS                                   ,BHP BCAA 2:1:1 ULTRA 240 CAPS                                         , 310.67 , 214.0 ,BHP              ,New     ,True       ,available    ,             , 240.0
       ,product      ,BHP BETA ALANINA ULTRA 100 CAPS                                 ,BHP BETA ALANINA ULTRA 100 CAPS                                       , 236.72 , 163.0 ,BHP              ,New     ,True       ,available    ,             , 100.0
       ,product      ,BHP CAFEINA ULTRA 200 TABS                                      ,BHP CAFEINA ULTRA 200 TABS                                            , 241.07 , 166.0 ,BHP              ,New     ,True       ,available    ,             , 200.0
       ,product      ,BHP CITRULINA ULTRA 175 GRS                                     ,BHP CITRULINA ULTRA 175 GRS                                           , 251.22 , 173.0 ,BHP              ,New     ,True       ,available    ,             , 175.0
       ,product      ,BHP CLA ULTRA 180 GELCAPS                                       ,BHP CLA ULTRA 180 GELCAPS                                             , 399.12 , 275.0 ,BHP              ,New     ,True       ,available    ,             ,   0.18
       ,product      ,BHP CLA ULTRA 90 GELCAPS                                        ,BHP CLA ULTRA 90 GELCAPS                                              , 242.53 , 167.0 ,BHP              ,New     ,True       ,available    ,             ,   0.09
       ,product      ,BHP CLA+CARNITINA 30 SERV NARANJA MANDARINA                     ,BHP CLA+CARNITINA 30 SERV NARANJA MANDARINA                           , 313.57 , 216.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP CLA+CARNITINA 30 SERV SANDIA                                ,BHP CLA+CARNITINA 30 SERV SANDIA                                      , 313.57 , 216.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP COFFE MAX CAPUCHINO 300GRS                                  ,BHP COFFE MAX CAPUCHINO 300GRS                                        , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             , 300.0
       ,product      ,BHP COFFE MAX CARAMEL MACHIATO 300GRS                           ,BHP COFFE MAX CARAMEL MACHIATO 300GRS                                 , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             , 300.0
       ,product      ,BHP COFFE MAX ESPRESSO AMERICANO 300GRS                         ,BHP COFFE MAX ESPRESSO AMERICANO 300GRS                               , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             , 300.0
       ,product      ,BHP COLAGENO HIDROLIZADO ULTRA 30 SERV MANGO                    ,BHP COLAGENO HIDROLIZADO ULTRA 30 SERV MANGO                          , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
       ,product      ,BHP COLAGENO HIDROLIZADO ULTRA 30 SERV PIÑA                     ,BHP COLAGENO HIDROLIZADO ULTRA 30 SERV PIÑA                           , 349.82 , 241.0 ,BHP              ,New     ,True       ,available    ,             ,  30.0
