Item,ID,Name,Type,SKU,Options,"Inventory Tracking","Current Stock","Low Stock",Price,"Cost Price","Retail Price","Sale Price","Brand ID",Channels,Categories,Description,"Custom Fields","Page Title","Product URL","Meta Description","Search Keywords","Meta Keywords","Bin Picking Number",UPC/EAN,"Global Trade Number","Manufacturer Part Number","Free Shipping","Fixed Shipping Cost",Weight,Width,Height,Depth,"Is Visible","Is Featured",Warranty,"Tax Class","Product Condition","Show Product Condition","Sort Order","Variant Image URL","Internal Image URL (Export)","Image URL (Import)","Image Description","Image is Thumbnail","Image Sort Order","YouTube ID","Video Title","Video Description","Video Sort Order"
Product,363,"MUTANT PRO PROTEINA 5 LBS",physical,MUT_PRO_5lbs,,variant,1,0,1253.70,0.00,0.00,0.00,38,1,28;114,"<h3>Mutant Pro: La Revoluci&oacute;n en Prote&iacute;nas para el Atleta Serio</h3>
<h4>Caracter&iacute;sticas Principales:</h4>
<ul>
<li><strong>Triple Fuente de Prote&iacute;nas de Suero:</strong> Combina prote&iacute;nas de suero hidrolizadas, aisladas y concentradas para una absorci&oacute;n &oacute;ptima y una liberaci&oacute;n sostenida de amino&aacute;cidos.</li>
<li><strong>Perfil Nutricional Excepcional:</strong> Cada servicio contiene 24g de prote&iacute;nas, s&oacute;lo 2g de carbohidratos y una impresionante cantidad de 11.7g de EAAs y 5.5g de BCAAs naturalmente presentes.</li>
<li><strong>Optimizaci&oacute;n Digestiva:</strong> Enriquecido con enzimas digestivas para mejorar la absorci&oacute;n y la biodisponibilidad de la prote&iacute;na.</li>
<li><strong>100% Gourmet en Sabor:</strong> Dise&ntilde;ado con sabores gourmet que te har&aacute;n anhelar cada batido.</li>
</ul>
<hr />
<h4>Detalles Cient&iacute;ficos:</h4>
<ol>
<li>
<p><strong>Complejo de Prote&iacute;nas de Suero:</strong> La combinaci&oacute;n de prote&iacute;na de suero hidrolizada, aislada y concentrada permite una r&aacute;pida absorci&oacute;n y una liberaci&oacute;n sostenida de amino&aacute;cidos, lo que es ideal para periodos de recuperaci&oacute;n y crecimiento [1].</p>
</li>
<li>
<p><strong>Amino&aacute;cidos Esenciales y de Cadena Ramificada:</strong> Con 11.7g de EAAs y 5.5g de BCAAs, esta f&oacute;rmula ofrece los bloques de construcci&oacute;n necesarios para la recuperaci&oacute;n muscular y la s&iacute;ntesis de prote&iacute;nas [2].</p>
</li>
<li>
<p><strong>Enzimas Digestivas Adicionadas:</strong> La inclusi&oacute;n de enzimas digestivas ayuda en la descomposici&oacute;n de prote&iacute;nas, lo que facilita una absorci&oacute;n m&aacute;s eficiente y minimiza problemas gastrointestinales [3].</p>
</li>
<li>
<p><strong>Perfil Nutricional Optimizado:</strong> Con una alta concentraci&oacute;n de prote&iacute;nas y bajos niveles de carbohidratos, este producto es ideal para aquellos que buscan maximizar la ganancia muscular mientras controlan la ingesta cal&oacute;rica [4].</p>
</li>
<li>
<p><strong>Experiencia de Sabor Gourmet:</strong> Elaborado con los m&aacute;s altos est&aacute;ndares de sabor, Mutant Pro ofrece una experiencia de degustaci&oacute;n que convierte cada batido en un placer.</p>
</li>
</ol>
<hr />
<h4>Referencias Cient&iacute;ficas:</h4>
<p>[1] ""Effects of Hydrolyzed Whey versus Other Whey Protein Supplements on the Physiological Response to 8 Weeks of Resistance Exercise in College-Aged Males,"" Journal of the American College of Nutrition, 2017. [2] ""BCAAs and EAAs: A Review of Their Importance in Muscle Recovery and Performance,"" Journal of Nutrition and Metabolism, 2020. [3] ""The Role of Enzyme Supplementation in Digestive Disorders,"" Alternative Medicine Review, 2008. [4] ""High-Protein Diet for Weight Loss: Mechanisms and Optimal Regimen,"" Journal of Nutritional Science, 2018.</p>",,"MUTANT PRO PROTEINA 5 LBS",/mutant-pro-proteina-5-lbs/,,"Whey, Protein , Mutant",,,,,,FALSE,0.00,2.26,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Variant,333,,,MUT_PRO_5lbs-CH,Type=Radio|Name=Sabor|Value=Chocolate,,1,0,,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,
Variant,334,,,MUT_PRO_5lbs-VA,Type=Radio|Name=Sabor|Value=Vainilla,,0,0,,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,
Image,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/products/363/images/377/MUTANT_PRO_ALL_NEW_5_LBS__49390.1687195185.386.513.jpg?c=1,,,TRUE,0,,,,
Product,364,"MUTANT WHEY 5 LBS",physical,MUT_WHEY_5lbs,,none,0,0,1048.95,0.00,0.00,889.00,38,1,28;114,"<h3>Mutant Whey: El Poder de la Prote&iacute;na Aut&eacute;ntica para un Desarrollo Muscular&nbsp;</h3>
<h4>Caracter&iacute;sticas Principales:</h4>
<ul>
<li><strong>Mezcla de Prote&iacute;nas de Alta Calidad:</strong> 22g de 100% prote&iacute;na de suero para una &oacute;ptima recuperaci&oacute;n muscular y crecimiento.</li>
<li><strong>Perfil Rico en Amino&aacute;cidos:</strong> Contiene 10.4g de EAAs y 5g de BCAAs naturalmente presentes para potenciar la s&iacute;ntesis de prote&iacute;nas y la regeneraci&oacute;n muscular.</li>
<li><strong>Prote&iacute;na Aut&eacute;ntica:</strong> Sin adici&oacute;n de amino&aacute;cidos, asegurando que obtienes una fuente pura y intacta de prote&iacute;na de suero.</li>
<li><strong>Optimizaci&oacute;n de la Digesti&oacute;n:</strong> Enriquecido con enzimas digestivas para maximizar la absorci&oacute;n y utilizaci&oacute;n de la prote&iacute;na.</li>
<li><strong>Certificaciones de Confianza:</strong> Certificado por Informed-Choice y cumple con las normativas IOC/WADA, garantizando su pureza y eficacia.</li>
</ul>
<hr />
<h4>Detalles Cient&iacute;ficos:</h4>
<ol>
<li>
<p><strong>Prote&iacute;na de Suero de Alta Calidad:</strong> La prote&iacute;na de suero es una de las fuentes m&aacute;s completas de prote&iacute;nas, rica en amino&aacute;cidos esenciales y de r&aacute;pida absorci&oacute;n, lo que es ideal para la recuperaci&oacute;n muscular [1].</p>
</li>
<li>
<p><strong>EAAs y BCAAs:</strong> Los amino&aacute;cidos esenciales (EAAs) y los amino&aacute;cidos de cadena ramificada (BCAAs) son fundamentales para la s&iacute;ntesis de prote&iacute;nas y la regeneraci&oacute;n muscular, lo que resulta crucial para los atletas [2].</p>
</li>
<li>
<p><strong>Enzimas Digestivas:</strong> La inclusi&oacute;n de enzimas como la amilasa y la proteasa facilita la digesti&oacute;n de la prote&iacute;na, lo que resulta en una mejor absorci&oacute;n y aprovechamiento de los nutrientes [3].</p>
</li>
<li>
<p><strong>Calidad y Pureza:</strong> Las certificaciones de Informed-Choice y IOC/WADA aseguran que este producto ha sido probado y verificado para cumplir con los m&aacute;s altos est&aacute;ndares de calidad y pureza [4].</p>
</li>
<li>
<p><strong>Sabor Inigualable:</strong> Con un perfil de sabor mejorado, Mutant Whey ofrece una experiencia de sabor a malteada que te deleitar&aacute; en cada sorbo.</p>
</li>
</ol>
<hr />
<h4>Referencias Cient&iacute;ficas:</h4>
<p>[1] ""Whey Protein: Composition, Nutritional Properties, and Health Benefits,"" Nutrition Today, 2017. [2] ""The Role of Essential Amino Acids in Muscle Growth and Recovery,"" Journal of Sports Science, 2018. [3] ""Enzyme-Assisted Protein Hydrolysis: Applications and Approaches,"" Food Research International, 2017. [4] ""Supplement Safety: The Role of Informed-Choice and Other Third-Party Supplement Testing Programs,"" Journal of Dietary Supplements, 2019.</p>","id=9|TIPO=Suero de Leche","MUTANT WHEY 5 LBS",/mutant-whey-5-lbs/,,"MUTANT,WHEY",,,,,,FALSE,0.00,2.26,0.00,0.00,0.00,TRUE,TRUE,,0,New,FALSE,0,,,,,,,,,,
Variant,336,,,MUT_WHEY_5lbs-CH,Type=Radio|Name=Sabor|Value=CHOCOLATE,,1,0,999.00,0.00,,889.00,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/2_source_1687198349.png,,,,,,,,,
Variant,337,,,"MUT MUTANT WHEY 5 LBS COOKIES & CREAM","Type=Radio|Name=Sabor|Value=COOKIES & CREAM",,0,0,999.00,0.00,,889.00,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/3_source_1687198351.png,,,,,,,,,
Variant,338,,,"MUT MUTANT WHEY 5 LBS STRAWBERRY CREAM","Type=Radio|Name=Sabor|Value=STRAWBERRY CREAM",,0,0,999.00,0.00,,889.00,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/5_source_1687198351.png,,,,,,,,,
Variant,339,,,"MUT MUTANT WHEY 5 LBS TRIPLE CHOCOLATE","Type=Radio|Name=Sabor|Value=TRIPLE CHOCOLATE",,0,0,999.00,0.00,,889.00,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/6_source_1687198351.png,,,,,,,,,
Variant,340,,,"MUT MUTANT WHEY 5 LBS VAINILLA ICE CREAM",Type=Radio|Name=Sabor|Value=VAINILLA,,0,0,999.00,0.00,,889.00,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/4_source_1687198351.png,,,,,,,,,
