ID,Product Type,Name,SKU,Price,Cost,Brand,Status,Visibility,Availability,Price Update,Weight
,product,BET B-NOX ANDRORUSH 633 GRS BLUE RASPBERRY,,341.0,,BETANCOURT,New,True,available,,
,product,BET B-NOX ANDRORUSH 633 GRS GRAPE,,341.0,,BETANCOURT,New,True,available,,
,product,BET B-NOX ANDRORUSH 633 GRS STRAWBERRY LEMONADE,,341.0,,BETANCOURT,New,True,available,,
,product,BET B-NOX ANDRORUSH 633 GRS WATERMELON,,341.0,,BETANCOURT,New,True,available,,
,product,BET B-NOX RIPPED 30 SERV TROPICAL PARADISE,,338.0,,BETANCOURT,New,True,available,,
,product,BET EAA RELOADED 30 SERV CHERRY CANDY,,240.0,,BETANCOURT,New,True,available,,
,product,BET EAA RELOADED 30 SERV TROPICAL STORM,,240.0,,BETANCOURT,New,True,available,,
,product,BHP AMINO BEEF 180 TABS #REMATE# CAD 11/23,,172.0,,BHP,New,True,available,,
,product,BHP AMINO ENERGY 30 SERV MORA AZUL,,199.0,,BHP,New,True,available,,
,product,BHP AMINO ENERGY 30 SERV PONCHE DE FRUTAS,,199.0,,BHP,New,True,available,,
,product,BHP AMINO ENERGY 30 SERV UVA,,199.0,,BHP,New,True,available,,
,product,BHP ANGUS MASS 6 LB PASTEL DE CHOCOLATE,,513.0,,BHP,New,True,available,,
,product,BHP BCAA 2:1:1 ULTRA 240 CAPS,,214.0,,BHP,New,True,available,,
,product,BHP BETA ALANINA ULTRA 100 CAPS,,163.0,,BHP,New,True,available,,
,product,BHP CAFEINA ULTRA 200 TABS,,166.0,,BHP,New,True,available,,
,product,BHP CITRULINA ULTRA 175 GRS,,173.0,,BHP,New,True,available,,
,product,BHP CLA ULTRA 180 GELCAPS,,275.0,,BHP,New,True,available,,0.18
,product,BHP CLA ULTRA 90 GELCAPS,,167.0,,BHP,New,True,available,,0.09
,product,BHP CLA+CARNITINA 30 SERV NARANJA MANDARINA,,216.0,,BHP,New,True,available,,
